genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Movie,BTS,Euphoria,0BRjO6ga9RKCKjfDqeFgWV,0,0.611,0.389,99373,0.91,0,C#,0.346,-1.828,Major,0.0525,166.969,4-Apr,0.814
Movie,BTS,Trivia èµ· : Just Dance,0BjC1NfoEOOusryehmNudP,1,0.246,0.59,137373,0.737,0,F#,0.151,-5.559,Minor,0.0868,174.003,4-Apr,0.816
Movie,BTS,Serendipity (Full Length Edition),0CoSDzoNIKCRs124s9uTVy,3,0.952,0.663,170267,0.131,0,C,0.103,-13.879,Minor,0.0362,99.488,4-May,0.368
Movie,BTS,DNA,0Gc6TVm52BwZD07Ki6tIvf,0,0.703,0.24,152427,0.326,0,C#,0.0985,-12.178,Major,0.0395,171.758,4-Apr,0.227
Movie,BTS,Dimple,0IuslXpMROHdEPvSl1fTQK,4,0.95,0.331,82625,0.225,0.123,F,0.202,-21.15,Major,0.0456,140.576,4-Apr,0.39
Movie,BTS,Trivia æ‰¿ : Love,0Mf1jKa8eNAf1a4PwTbizj,0,0.749,0.578,160627,0.0948,0,C#,0.107,-14.97,Major,0.143,87.479,4-Apr,0.358
Movie,BTS,Her,0NUiKYRd6jt1LKMYGkUdnZ,2,0.344,0.703,212293,0.27,0,C#,0.105,-12.675,Major,0.953,82.873,4-Apr,0.533
Movie,BTS,Singularity,0PbIF9YVD505GutwotpB5C,15,0.939,0.416,240067,0.269,0,F#,0.113,-8.949,Major,0.0286,96.827,4-Apr,0.274
Movie,BTS,FAKE LOVE,0ST6uPfvaPpJLtQwhE6KfC,0,0.00104,0.734,226200,0.481,0.00086,C,0.0765,-7.725,Major,0.046,125.08,4-Apr,0.765
Movie,BTS,The Truth Untold,0VSqZ3KStsjcfERGdcWpFO,10,0.319,0.598,152694,0.705,0.00125,G,0.349,-7.79,Major,0.0281,137.496,4-Apr,0.718
Movie,BTS,Trivia è½‰ : Seesaw,0XKgegoxLcIihK3Klpfo3N,0,0.921,0.191,566960,0.145,0.529,E,0.141,-17.239,Minor,0.0393,85.225,4-Apr,0.0849
Movie,BTS,Tear,0hprxsuRM5vVCOfaM7l3gQ,2,0.0383,0.23,121333,0.133,0.887,C,0.0872,-19.051,Major,0.0302,91.739,4-Apr,0.118
Movie,BTS,Epiphany,0jF6HUm18fg6QQCLHhfhC0,4,0.215,0.68,213589,0.6,0.0729,F#,0.111,-7.702,Minor,0.0258,110.026,4-Apr,0.433
Movie,BTS,I'm Fine,0jIY0oRAp1T4mezDyEhOad,3,0.958,0.758,308627,0.264,0,D#,0.0543,-11.966,Major,0.0496,110.068,4-Mar,0.742
Movie,BTS,IDOL,0pXwl2CRP5awxHsF9eET3L,0,0.97,0.4,159253,0.174,0.933,G,0.13,-13.869,Major,0.0458,115.022,4-Apr,0.27
Movie,BTS,Answer : Love Myself,0uWUjxM7oDPKpb3T2y3oZm,0,0.548,0.588,2447870,0.405,0,G#,0.754,-15.55,Major,0.938,83.56,4-Mar,0.48
Movie,BTS,Magic Shop,0vS7Zid3q0dMyX8uMnlQ8s,0,0.7,0.625,523424,0.237,0,D,0.319,-16.655,Major,0.561,108.508,4-Mar,0.298
Movie,BTS,Best Of Me,0x8xSaoSfQkOYUnG1nbga0,3,0.488,0.744,178107,0.953,0,E,0.453,-4.986,Major,0.037,129.959,4-Apr,0.926
Movie,BTS,Airplane pt.2,113pHPsGwyeklEjLhnB3ZT,1,0.381,0.451,194360,0.491,0,D,0.152,-8.73,Major,0.0548,71.633,4-Mar,0.516
Movie,BTS,Go Go,12ZjoNweObu1k9rK4SOSdL,4,0.161,0.522,207240,0.748,7.25E-06,C#,0.111,-5.203,Major,0.0824,184.063,4-Apr,0.733
Movie,BTS,Anpanman,12hJJLMMbJDK0F9I3g5SLv,1,0.852,0.362,219600,0.436,0,C,0.0941,-6.971,Major,0.0321,79.542,4-Apr,0.32
Movie,BTS,MIC Drop,148uA2Y78xfxDiCNjgZA0v,1,0.513,0.855,183467,0.504,0,D,0.0778,-12.359,Major,0.0737,128.052,4-Apr,0.682
Movie,BTS,DNA (Pedal 2 LA Mix),14K25Ks5fdHjHfpIYOTc4y,8,0.689,0.704,161773,0.804,0.0422,C,0.18,-6.699,Major,0.109,127.999,4-Apr,0.836
Movie,BTS,FAKE LOVE (Rocking Vibe Mix),15CpJP0LXchBUjpB8RKh8m,0,0.669,0.707,71299,0.696,0,C,0.197,-10.472,Major,0.028,114.752,4-Apr,0.833
Movie,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],15nBPcHoH2fZmRiFd2ZhMh,5,0.706,0.526,181441,0.298,0,F,0.143,-7.287,Major,0.0621,156.35,4-Apr,0.396
Movie,BTS,IDOL,16UTNMhXjeJa8IG9uBijxZ,0,0.882,0.711,299040,0.218,0,A#,0.145,-22.212,Minor,0.681,125.521,4-May,0.591
Movie,BTS,Intro: Singularity,16hVzfu0IJZmP3Bj4x1BB1,0,0.159,0.636,152840,0.594,0,G#,0.184,-7.943,Major,0.084,111.361,4-Apr,0.669
Movie,BTS,FAKE LOVE,17c4utCC03TPtTHXw2EVGB,0,0.864,0.594,156973,0.481,0,G,0.359,-7.678,Minor,0.0917,136.182,4-Apr,0.728
Movie,BTS,The Truth Untold,1J5pa9cW0uCsNrFwag0jDD,2,0.716,0.835,142813,0.384,8.13E-06,G#,0.265,-15.629,Major,0.127,126.892,4-Apr,0.971
Movie,BTS,134340,1KIKeCTNJKYpQK5X5Sqc1v,0,0.184,0.695,430240,0.5,0.000328,A,0.33,-10.217,Minor,0.0351,112.965,4-Jan,0.756
Movie,BTS,Paradise,1KVSUAEvXBSlARo03y4YYG,0,0.00323,0.711,221320,0.941,0.0011,C,0.309,-4.008,Major,0.118,145.125,4-Apr,0.812
Movie,BTS,Love Maze,1LFky4DBeOLzVWbg0avgod,4,0.305,0.618,49373,0.283,0,B,0.226,-16.222,Minor,0.85,70.941,4-Apr,0.751
Movie,BTS,Magic Shop,1R8nFU8no9yINDiCzBcgB3,0,0.922,0.681,129707,0.44,0,C,0.0397,-12.508,Minor,0.222,84.173,4-Apr,0.747
Movie,BTS,Airplane pt.2,1X8uhUgBKmotpvHrsS7fEe,0,0.942,0.883,171027,0.418,0,A#,0.362,-11.432,Major,0.228,128.494,4-Apr,0.858
Movie,BTS,Anpanman,1Zj5XBiUaHTkkBJ2nET477,0,0.123,0.784,235000,0.653,0.002,E,0.222,-10.732,Minor,0.0584,94.011,4-Apr,0.968
Movie,BTS,So What,1bo3gLD3Es261UYTfMLh4y,0,0.767,0.776,169352,0.468,1.27E-06,G#,0.214,-11.235,Major,0.317,116.674,4-Apr,0.908
Movie,BTS,Outro: Tear,1cAI02OznrXX5yrqonMCfh,0,0.164,0.848,215333,0.826,0,A,0.131,-6.746,Major,0.253,126,4-Apr,0.637
Movie,BTS,INTRO : Ringwanderung,1dQKx8EJBbhHxc7qOgsBjb,1,0.619,0.483,218187,0.497,0,E,0.421,-12.089,Major,0.415,121.719,4-Apr,0.569
Movie,BTS,Best Of Me - Japanese ver.,1j6b29LbEnEqbn8aswj4p1,0,0.932,0.348,127507,0.2,0.919,D#,0.109,-14.06,Major,0.0436,99.028,4-Mar,0.188
Movie,BTS,è¡€ã€æ±—ã€æ¶™ - Japanese ver.,1jyknwZYTEEj1TCUozUbCi,0,0.508,0.567,22413,0.654,0,G,0.119,-6.058,Major,0.0877,118.909,4-Apr,0.618
Movie,BTS,DNA - Japanese ver.,1lG8EIwGceFVRntJvA9hnY,0,0.649,0.483,189027,0.366,8.32E-06,B,0.0986,-15.603,Major,0.0296,83.102,4-Apr,0.856
Movie,BTS,Not Today - Japanese ver.,1ppTRhpfunYl8Jd3Hfckee,1,0.983,0.42,199160,0.0638,0.976,A,0.231,-20.951,Minor,0.0426,77.397,4-Apr,0.548
Movie,BTS,MIC Drop - Japanese ver.,1py5dPKJVdQmXdZKjdvmwB,0,0.934,0.336,160053,0.107,4.90E-05,G#,0.453,-15.267,Major,0.0355,77.719,4-Apr,0.222
Movie,BTS,Don't Leave Me,1q7DDr7riLHgrqAMxyZNFC,1,0.576,0.503,121533,0.456,0,A,0.133,-10.465,Minor,0.0548,143.797,4-Apr,0.691
Movie,BTS,Go Go - Japanese ver.,1qCTyNzxGkFXnvdrqT5olw,0,0.751,0.566,371720,0.512,0,G,0.158,-8.904,Major,0.666,138.484,4-Mar,0.464
Movie,BTS,Crystal Snow,1qda3iYG5DlQJeY5BpSmpe,0,0.614,0.434,77067,0.528,0,C,0.107,-7.479,Major,0.276,69.547,4-Apr,0.735
Movie,BTS,Spring Day - Japanese ver.,1wUjDOW0NXDBUPYPzNxczV,4,0.0287,0.669,181173,0.937,0,A,0.0809,-6.85,Major,0.0713,134.905,4-Apr,0.641
Movie,BTS,Let Go,23YuvN1cvAocACyKpYqzvu,3,0.285,0.555,278160,0.773,0.000732,E,0.0929,-5.438,Major,0.04,120.07,4-Mar,0.616
Movie,BTS,OUTRO : Crack,244U5mhlSmoudM4BMN25Wu,0,0.659,0.804,169853,0.636,0,A#,0.158,-6.968,Major,0.0897,128.111,4-Apr,0.932
Movie,BTS,Introduction : Youth,24QIhmFU3ve4VIwDlBTtlp,1,0.581,0.885,212627,0.341,0,F,0.0928,-16.44,Major,0.0758,121.628,4-Apr,0.911
Movie,BTS,Run - Japanese Ver.,24XhoLQObCUbk4ybOWtrZl,1,0.902,0.489,128871,0.26,0.000683,A#,0.0944,-11.876,Major,0.0884,93.186,4-Jan,0.371
Movie,BTS,Fire - Japanese Ver.,24YkUVThOdm5kpX15kcK8Q,5,0.386,0.43,47172,0.932,2.94E-05,C#,0.539,-9.149,Major,0.0568,145.695,4-Apr,0.393
Movie,BTS,Dope - Chou Yabee! - Japanese Ver.,279g1SI8xH7ItKaJxM6TLI,1,0.712,0.63,56067,0.606,0,G,0.614,-10.914,Major,0.961,167.889,4-May,0.499
Movie,BTS,Good Day,27AtBxw44IKdMNHnxmg6rB,0,0.917,0.428,198040,0.317,0,A#,0.155,-9.099,Major,0.037,120.689,4-Apr,0.509
Movie,BTS,Save Me - Japanese Ver.,2BF5SlaZRL0sYUDBgwjmbo,0,0.924,0.683,101653,0.147,0,G#,0.606,-21.998,Major,0.822,32.244,4-Apr,0.595
Movie,BTS,Funtan Syounendan - Japanese Ver.,2BcLdx9G6GF32IWlvb1UGa,3,0.967,0.55,28027,0.0148,0.0608,G#,0.0793,-22.731,Major,0.0492,74.756,4-Jan,0.592
Movie,BTS,Peppuse - Japanese Ver.,2Do96Wm75pSsMBm8lmIhQg,0,0.989,0.262,220173,0.151,0,A,0.137,-14.86,Major,0.036,75.964,4-Apr,0.369
Movie,BTS,Wishing On A Star,2G2CWFXYakUgdQyweO4MKv,1,0.728,0.538,139840,0.294,0,A#,0.71,-12.646,Major,0.119,109.024,4-Apr,0.279
Movie,BTS,Butterfly - Japanese Ver.,2I5Vq5yS1xuh9lk0mZ2oMS,1,0.871,0.297,65560,0.0808,0.891,A#,0.208,-20.471,Major,0.031,106.209,4-Apr,0.183
Movie,BTS,For You,2MkMN3nFkYzdXlYrhAS0GJ,4,0.126,0.542,515613,0.797,0,E,0.219,-4.337,Major,0.0329,127.945,4-Apr,0.563
Movie,BTS,I Need U - Japanese Ver.,2PSSi1isCZITVBIEwL420B,0,0.929,0.443,144560,0.16,0,G,0.157,-15.269,Major,0.0689,108.483,4-Apr,0.193
Movie,BTS,Epilogue : Young Forever - Japanese Ver.,2SJMPPj5nNlizdz58AgzL6,0,0.455,0.714,184987,0.346,0,F#,0.592,-14.199,Major,0.0967,81.668,4-Apr,0.601
