popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.611,0.389,99373,0.91,0,0.346,-1.828,0.0525,166.969,0.814
1,0.246,0.59,137373,0.737,0,0.151,-5.559,0.0868,174.003,0.816
3,0.952,0.663,170267,0.131,0,0.103,-13.879,0.0362,99.488,0.368
0,0.703,0.24,152427,0.326,0,0.0985,-12.178,0.0395,171.758,0.227
4,0.95,0.331,82625,0.225,0.123,0.202,-21.15,0.0456,140.576,0.39
0,0.749,0.578,160627,0.0948,0,0.107,-14.97,0.143,87.479,0.358
2,0.344,0.703,212293,0.27,0,0.105,-12.675,0.953,82.873,0.533
15,0.939,0.416,240067,0.269,0,0.113,-8.949,0.0286,96.827,0.274
0,0.00104,0.734,226200,0.481,0.00086,0.0765,-7.725,0.046,125.08,0.765
10,0.319,0.598,152694,0.705,0.00125,0.349,-7.79,0.0281,137.496,0.718
0,0.921,0.191,566960,0.145,0.529,0.141,-17.239,0.0393,85.225,0.0849
2,0.0383,0.23,121333,0.133,0.887,0.0872,-19.051,0.0302,91.739,0.118
4,0.215,0.68,213589,0.6,0.0729,0.111,-7.702,0.0258,110.026,0.433
3,0.958,0.758,308627,0.264,0,0.0543,-11.966,0.0496,110.068,0.742
0,0.97,0.4,159253,0.174,0.933,0.13,-13.869,0.0458,115.022,0.27
0,0.548,0.588,2447870,0.405,0,0.754,-15.55,0.938,83.56,0.48
0,0.7,0.625,523424,0.237,0,0.319,-16.655,0.561,108.508,0.298
3,0.488,0.744,178107,0.953,0,0.453,-4.986,0.037,129.959,0.926
1,0.381,0.451,194360,0.491,0,0.152,-8.73,0.0548,71.633,0.516
4,0.161,0.522,207240,0.748,7.25E-06,0.111,-5.203,0.0824,184.063,0.733
1,0.852,0.362,219600,0.436,0,0.0941,-6.971,0.0321,79.542,0.32
1,0.513,0.855,183467,0.504,0,0.0778,-12.359,0.0737,128.052,0.682
8,0.689,0.704,161773,0.804,0.0422,0.18,-6.699,0.109,127.999,0.836
0,0.669,0.707,71299,0.696,0,0.197,-10.472,0.028,114.752,0.833
5,0.706,0.526,181441,0.298,0,0.143,-7.287,0.0621,156.35,0.396
0,0.882,0.711,299040,0.218,0,0.145,-22.212,0.681,125.521,0.591
0,0.159,0.636,152840,0.594,0,0.184,-7.943,0.084,111.361,0.669
0,0.864,0.594,156973,0.481,0,0.359,-7.678,0.0917,136.182,0.728
2,0.716,0.835,142813,0.384,8.13E-06,0.265,-15.629,0.127,126.892,0.971
0,0.184,0.695,430240,0.5,0.000328,0.33,-10.217,0.0351,112.965,0.756
0,0.00323,0.711,221320,0.941,0.0011,0.309,-4.008,0.118,145.125,0.812
4,0.305,0.618,49373,0.283,0,0.226,-16.222,0.85,70.941,0.751
0,0.922,0.681,129707,0.44,0,0.0397,-12.508,0.222,84.173,0.747
0,0.942,0.883,171027,0.418,0,0.362,-11.432,0.228,128.494,0.858
0,0.123,0.784,235000,0.653,0.002,0.222,-10.732,0.0584,94.011,0.968
0,0.767,0.776,169352,0.468,1.27E-06,0.214,-11.235,0.317,116.674,0.908
0,0.164,0.848,215333,0.826,0,0.131,-6.746,0.253,126,0.637
1,0.619,0.483,218187,0.497,0,0.421,-12.089,0.415,121.719,0.569
0,0.932,0.348,127507,0.2,0.919,0.109,-14.06,0.0436,99.028,0.188
0,0.508,0.567,22413,0.654,0,0.119,-6.058,0.0877,118.909,0.618
0,0.649,0.483,189027,0.366,8.32E-06,0.0986,-15.603,0.0296,83.102,0.856
1,0.983,0.42,199160,0.0638,0.976,0.231,-20.951,0.0426,77.397,0.548
0,0.934,0.336,160053,0.107,4.90E-05,0.453,-15.267,0.0355,77.719,0.222
1,0.576,0.503,121533,0.456,0,0.133,-10.465,0.0548,143.797,0.691
0,0.751,0.566,371720,0.512,0,0.158,-8.904,0.666,138.484,0.464
0,0.614,0.434,77067,0.528,0,0.107,-7.479,0.276,69.547,0.735
4,0.0287,0.669,181173,0.937,0,0.0809,-6.85,0.0713,134.905,0.641
3,0.285,0.555,278160,0.773,0.000732,0.0929,-5.438,0.04,120.07,0.616
0,0.659,0.804,169853,0.636,0,0.158,-6.968,0.0897,128.111,0.932
1,0.581,0.885,212627,0.341,0,0.0928,-16.44,0.0758,121.628,0.911
1,0.902,0.489,128871,0.26,0.000683,0.0944,-11.876,0.0884,93.186,0.371
5,0.386,0.43,47172,0.932,2.94E-05,0.539,-9.149,0.0568,145.695,0.393
1,0.712,0.63,56067,0.606,0,0.614,-10.914,0.961,167.889,0.499
0,0.917,0.428,198040,0.317,0,0.155,-9.099,0.037,120.689,0.509
0,0.924,0.683,101653,0.147,0,0.606,-21.998,0.822,32.244,0.595
3,0.967,0.55,28027,0.0148,0.0608,0.0793,-22.731,0.0492,74.756,0.592
0,0.989,0.262,220173,0.151,0,0.137,-14.86,0.036,75.964,0.369
1,0.728,0.538,139840,0.294,0,0.71,-12.646,0.119,109.024,0.279
1,0.871,0.297,65560,0.0808,0.891,0.208,-20.471,0.031,106.209,0.183
4,0.126,0.542,515613,0.797,0,0.219,-4.337,0.0329,127.945,0.563
0,0.929,0.443,144560,0.16,0,0.157,-15.269,0.0689,108.483,0.193
0,0.455,0.714,184987,0.346,0,0.592,-14.199,0.0967,81.668,0.601
0,0.983,0.341,136253,0.156,0.0418,0.232,-14.696,0.0312,84.488,0.336
0,0.733,0.775,194769,0.356,0,0.158,-11.581,0.458,139.526,0.691
0,0.71,0.582,303413,0.679,0.0286,0.337,-9.225,0.0547,115.136,0.84
0,0.0575,0.59,248960,0.847,0,0.32,-7.995,0.138,205.455,0.757
0,0.667,0.602,201587,0.702,1.66E-05,0.117,-6.352,0.149,149.17,0.918
0,0.791,0.447,107703,0.253,0,0.0919,-11.927,0.0349,107.94,0.469
0,0.334,0.84,148867,0.557,0,0.181,-14.391,0.0407,141.148,0.967
0,0.933,0.676,214093,0.697,0.0117,0.484,-7.81,0.109,105.921,0.914
4,0.48,0.914,75102,0.224,2.44E-05,0.232,-15.397,0.0556,103.926,0.761
0,0.615,0.394,121480,0.384,0.0106,0.119,-10.737,0.0294,91.858,0.33
0,0.979,0.238,147067,0.151,0.000184,0.13,-17.031,0.0594,189.101,0.0767
0,0.939,0.582,75337,0.174,8.63E-05,0.128,-8.096,0.0342,94.708,0.366
0,0.695,0.71,492813,0.231,0,0.176,-16.156,0.874,110.924,0.493
0,0.756,0.564,248221,0.275,0,0.313,-14.068,0.199,107.945,0.413
0,0.91,0.388,118600,0.448,0,0.349,-6.823,0.0558,90.92,0.679
0,0.776,0.363,180133,0.153,9.00E-06,0.355,-10.686,0.0346,73.134,0.352
0,0.715,0.569,978303,0.345,0,0.111,-12.506,0.484,88.225,0.351
0,0.778,0.61,199587,0.266,0,0.269,-15.15,0.924,84.943,0.633
0,0.398,0.633,211133,0.605,0.000169,0.109,-5.584,0.0288,90.014,0.727
0,0.761,0.672,69355,0.651,0.00445,0.109,-8.598,0.0278,109.982,0.813
0,0.616,0.714,292720,0.253,0,0.21,-15.703,0.892,125.097,0.504
1,0.962,0.168,195827,0.185,0.855,0.125,-17.834,0.0385,143.78,0.195
1,0.611,0.702,134093,0.509,0,0.9,-8.535,0.0685,92.235,0.77
6,0.525,0.6,61800,0.658,4.81E-05,0.131,-11.71,0.0537,120.984,0.334
0,0.876,0.468,259000,0.642,0.000381,0.177,-9.841,0.0408,111.132,0.758
